model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -4.4765625, ""silent"": -2.9765625}","{""conversation"": 0.18242550282051248, ""silent"": 0.8175743821416167}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -7.96484375, ""secret"": -10.46875}","{""food"": 0.9244154095578853, ""secret"": 0.07558480705101184}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -2.658203125, ""carpentry"": -1.5738449096679688}","{""accuracy"": 0.25268215901168617, ""carpentry"": 0.7473178717736472}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -1.80780029296875, ""location"": -2.478515625}","{""indecision"": 0.6616633164235685, ""location"": 0.3383366849684557}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -4.22265625, ""agreed"": -6.72265625, ""disagree"": -5.22265625, ""disagreed"": -6.004231770833333}","{""agree"": 0.6179182824605852, ""agreed"": 0.05072182136545904, ""disagree"": 0.22731943244121752, ""disagreed"": 0.1040405305353316}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,5,animal,True,"{""animal"": -2.591796875, ""secret"": -3.591796875}","{""animal"": 0.7310585348819939, ""secret"": 0.2689414052760013}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -5.48828125, ""awake"": -3.48828125}","{""asleep"": 0.11920291248514252, ""awake"": 0.8807970075086389}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -5.0673828125, ""conflict"": -1.44140625, ""together"": -5.94140625, ""working"": -3.94140625}","{""collaborating"": 0.023774494298768288, ""conflict"": 0.8930029643497478, ""together"": 0.009920366839601466, ""working"": 0.0733021470997866}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -3.849609375, ""unharmed"": -1.6236535708109539}","{""hurt"": 0.09744372533275618, ""unharmed"": 0.9025562349268035}"
Pythia-160m-deduped,EleutherAI/pythia-160m-deduped,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.5185546875, ""wet"": -0.5185546875}","{""dry"": 0.26894143733631704, ""wet"": 0.7310586002437232}"
