model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,0,silent,True,"{""conversation"": -2.123046875, ""silent"": -1.216796875}","{""conversation"": 0.2877678223352887, ""silent"": 0.7122322005103363}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,1,food,True,"{""food"": -2.51171875, ""secret"": -3.46484375}","{""food"": 0.7217432549502003, ""secret"": 0.2782568124596512}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -1.8017578125, ""carpentry"": -1.772796630859375}","{""accuracy"": 0.49276017809761224, ""carpentry"": 0.5072397559143175}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,3,indecision,False,"{""indecision"": -0.951751708984375, ""location"": -1.880859375}","{""indecision"": 0.7168942261934951, ""location"": 0.28310578912605094}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,4,agree,True,"{""agree"": -0.84912109375, ""agreed"": -1.3955078125, ""disagree"": -2.935546875, ""disagreed"": -4.26953125}","{""agree"": 0.5760809010317668, ""agreed"": 0.3335728644697893, ""disagree"": 0.07150892471925593, ""disagreed"": 0.01883728005851752}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -1.8779296875, ""secret"": -0.7763671875}","{""animal"": 0.24944724151171868, ""secret"": 0.7505527282962782}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -1.5869140625, ""awake"": -1.0712890625}","{""asleep"": 0.3738758364277623, ""awake"": 0.6261242000979097}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -3.2708740234375, ""conflict"": -0.85205078125, ""together"": -4.5703125, ""working"": -2.921875}","{""collaborating"": 0.07182377880226566, ""conflict"": 0.8067701318637879, ""together"": 0.019585257713573462, ""working"": 0.10182082243188835}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -1.23828125, ""unharmed"": -0.5768407185872396}","{""hurt"": 0.34041607796000334, ""unharmed"": 0.6595839181794949}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,9,dry,False,"{""dry"": -0.7099609375, ""wet"": -1.2802734375}","{""dry"": 0.6388352750933627, ""wet"": 0.36116470682928536}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -0.2240161895751953, ""romantic"": -2.51171875}","{""platonic"": 0.9078533829590298, ""romantic"": 0.09214656636306585}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -2.6640625, ""yes"": -2.1953125}","{""no"": 0.38491214456728956, ""yes"": 0.615087855649269}"
Pythia-2.8b-deduped,EleutherAI/pythia-2.8b-deduped,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -1.1845703125, ""good"": -0.9970703125}","{""bad"": 0.45326185397243934, ""good"": 0.5467381591701916}"
