model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -3.920257568359375, ""silent"": -1.962890625}","{""conversation"": 0.1237523054846266, ""silent"": 0.8762477368729199}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -2.39453125, ""secret"": -2.56640625}","{""food"": 0.5428632787291557, ""secret"": 0.45713671308581943}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -3.2447509765625, ""carpentry"": -1.59991455078125}","{""accuracy"": 0.16180803524071696, ""carpentry"": 0.8381919158040745}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -1.59796142578125, ""location"": -3.958984375}","{""indecision"": 0.9138064165779364, ""location"": 0.08619358903398928}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,4,agree,True,"{""agree"": -2.15234375, ""agreed"": -4.0577545166015625, ""disagree"": -3.2580184936523438, ""disagreed"": -3.7659505208333335}","{""agree"": 0.5956220847177733, ""agreed"": 0.08860564893431162, ""disagree"": 0.19714344998297312, ""disagreed"": 0.11862884726250225}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -3.705078125, ""secret"": -1.9541015625}","{""animal"": 0.14792405480417262, ""secret"": 0.8520758607853035}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,6,awake,True,"{""asleep"": -2.37890625, ""awake"": -2.16796875}","{""asleep"": 0.4474602781672769, ""awake"": 0.5525396910980834}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -4.040771484375, ""conflict"": -3.402740478515625, ""together"": -6.4765625, ""working"": -4.72265625}","{""collaborating"": 0.28686651129006985, ""conflict"": 0.5429667021042929, ""together"": 0.025108990631137917, ""working"": 0.14505779141194503}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -3.953125, ""unharmed"": -1.061597188313802}","{""hurt"": 0.05257396576080884, ""unharmed"": 0.9474261015829126}"
Pythia-12b-deduped,EleutherAI/pythia-12b-deduped,zero_shot,standard,zero_shot_standard,9,dry,False,"{""dry"": -1.93359375, ""wet"": -2.92578125}","{""dry"": 0.7295197985092938, ""wet"": 0.2704802296455877}"
