model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,0,silent,True,"{""conversation"": -5.74017333984375, ""silent"": -3.1484375}","{""conversation"": 0.06967219118337876, ""silent"": 0.930327895003083}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,1,food,True,"{""food"": -3.076171875, ""secret"": -5.18359375}","{""food"": 0.8916224692629722, ""secret"": 0.10837754599177907}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,2,carpentry,True,"{""accuracy"": -3.35546875, ""carpentry"": -1.681976318359375}","{""accuracy"": 0.15795909553806672, ""carpentry"": 0.8420408614901116}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,3,indecision,False,"{""indecision"": -1.55804443359375, ""location"": -2.841796875}","{""indecision"": 0.7830878346430883, ""location"": 0.21691214837277548}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,4,agreed,True,"{""agree"": -2.47265625, ""agreed"": -2.10546875, ""disagree"": -5.037841796875, ""disagreed"": -4.577229817708333}","{""agree"": 0.3784336583574541, ""agreed"": 0.5463327827901607, ""disagree"": 0.029103406683720367, ""disagreed"": 0.046130164137558057}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,5,secret,False,"{""animal"": -3.859375, ""secret"": -3.0625}","{""animal"": 0.31069438000500593, ""secret"": 0.6893056096647525}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,6,awake,True,"{""asleep"": -5.226415634155273, ""awake"": -3.404296875}","{""asleep"": 0.1391798302012686, ""awake"": 0.8608201508493528}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,7,conflict,False,"{""collaborating"": -5.220703125, ""conflict"": -3.91448974609375, ""together"": -4.234375, ""working"": -5.3515625}","{""collaborating"": 0.12119922322399575, ""conflict"": 0.44748769649811526, ""together"": 0.3249800479661112, ""working"": 0.10633306489038737}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,8,unharmed,True,"{""hurt"": -5.275299072265625, ""unharmed"": -1.7843411763509114}","{""hurt"": 0.029570600544407185, ""unharmed"": 0.9704293653907}"
Pythia-1.4b-deduped,EleutherAI/pythia-1.4b-deduped,zero_shot,standard,zero_shot_standard,9,dry,False,"{""dry"": -2.3359375, ""wet"": -2.4375}","{""dry"": 0.5253687808333505, ""wet"": 0.47463114032359666}"
