model_label,model_hf_name,prompt_type,think_mode,setting,item_index,chosen_candidate,chosen_is_correct,candidate_logits,candidate_probs_normalized
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,0,conversation,False,"{""conversation"": -1.41015625, ""silent"": -2.34765625}","{""conversation"": 0.7185944237486072, ""silent"": 0.28140561963852656}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,1,secret,False,"{""food"": -2.810546875, ""secret"": -1.1845703125}","{""food"": 0.16438227987191031, ""secret"": 0.8356177340961143}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,2,carpentry,True,"{""accuracy"": -1.2177734375, ""carpentry"": -1.0255279541015625}","{""accuracy"": 0.45208611001408633, ""carpentry"": 0.5479138978912544}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,3,location,True,"{""indecision"": -1.1142578125, ""location"": -1.0205078125}","{""indecision"": 0.4765796573698212, ""location"": 0.5234203558622696}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,4,disagree,False,"{""agree"": -2.01171875, ""agreed"": -3.11328125, ""disagree"": -1.8935546875, ""disagreed"": -3.42578125}","{""agree"": 0.37024234270101863, ""agreed"": 0.12305055307017301, ""disagree"": 0.4166813720832819, ""disagreed"": 0.09002570777666676}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,5,secret,False,"{""animal"": -3.529296875, ""secret"": -0.302001953125}","{""animal"": 0.038151387532250156, ""secret"": 0.961848649213043}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,6,awake,True,"{""asleep"": -2.27734375, ""awake"": -0.48876953125}","{""asleep"": 0.14324761667239783, ""awake"": 0.8567523782656885}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,7,conflict,False,"{""collaborating"": -4.5888671875, ""conflict"": -1.08203125, ""together"": -3.98046875, ""working"": -3.37890625}","{""collaborating"": 0.02529504096824883, ""conflict"": 0.8434024994605792, ""together"": 0.04647928850435786, ""working"": 0.08482321820094445}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,8,unharmed,True,"{""hurt"": -1.5537109375, ""unharmed"": -0.5316999753316244}","{""hurt"": 0.2646358840749481, ""unharmed"": 0.735364166274395}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,9,wet,True,"{""dry"": -1.712890625, ""wet"": -1.244140625}","{""dry"": 0.38491214456728956, ""wet"": 0.615087855649269}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,10,platonic,True,"{""platonic"": -0.5886514186859131, ""romantic"": -4.14453125}","{""platonic"": 0.9722365871674237, ""romantic"": 0.02776342218419109}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,11,yes,True,"{""no"": -1.6318359375, ""yes"": -0.9755859375}","{""no"": 0.3415824960356538, ""yes"": 0.6584175332476201}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,12,good,False,"{""bad"": -1.3515625, ""good"": -0.6171875}","{""bad"": 0.3242353775649097, ""good"": 0.6757645966628892}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,13,career,False,"{""career"": -0.56494140625, ""sportsman"": -1.002166748046875}","{""career"": 0.607597702931604, ""sportsman"": 0.39240233497077875}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,14,reality,False,"{""object"": -2.58203125, ""reality"": -1.30078125}","{""object"": 0.217337514337814, ""reality"": 0.7826624547920057}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,15,object,True,"{""object"": -1.6982421875, ""success"": -1.9951171875}","{""object"": 0.5736784476125245, ""success"": 0.4263216223918792}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,16,yes,False,"{""no"": -2.3046875, ""yes"": -1.0478515625}","{""no"": 0.22151904024621924, ""yes"": 0.778480967543232}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,17,yes,False,"{""no"": -2.16015625, ""yes"": -2.00390625}","{""no"": 0.46101677846943745, ""yes"": 0.5389832197022594}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,18,no,True,"{""no"": -0.9091796875, ""yes"": -1.4873046875}","{""no"": 0.6406358869347725, ""yes"": 0.35936416316369485}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,19,owner,True,"{""handyman"": -0.7573699951171875, ""owner"": -0.68408203125}","{""handyman"": 0.48168619151515485, ""owner"": 0.5183137795753262}"
Pythia-1b-deduped,EleutherAI/pythia-1b-deduped,few_shot,standard,few_shot_standard,20,yes,False,"{""no"": -2.025390625, ""yes"": -1.7509765625}","{""no"": 0.4318237444538828, ""yes"": 0.5681761924190282}"
