Correct,Question,Answer
True,Is Jack having a conversation or is he silent?, silent
False,Is this statement about food or a secret?, secret
False,Is this statement about carpentry or accuracy?, accuracy
True,Is the statement about location or indecision?, location
True,Did Rui agree or disagree to play volleyball?, agree
False,Is this statement about an animal or a secret?, secret
True,Is the acrobat asleep or awake?, awake
True,Are the campers in conflict or working together?, working
True,Is Jane hurt or unharmed?, unharmed
True,Are Jane's keys wet or dry?, wet
True,Did Alex and Jane have a platonic or romantic relationship?, platonic
True,Is the parasite inside the person?, Yes
True,Did Tom have a good time or bad time?, bad
True,Is Andy a sportsman or a career guy?, sportsman
